ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"190.14.155.198","elite","AS52356","CR","R&H Telecom - Red WLAN","195","R&H Telecom - VOCEX","5678","socks4","4998","1","2023-10-13T15:03:23.233Z","28","1187","4313"
"185.209.177.12","elite","AS396356","US","Latitude.sh","144","Latitude.sh","46925","socks5","4913","1","2023-10-13T15:03:23.243Z","100","4357","4368"
"110.77.236.235","elite","AS131090","TH","CAT Telecom Public Company Limited","292","CAT BBviaOnnet","4153","socks4","5000","85","2023-10-13T15:03:23.234Z","83","3652","4396"
"83.143.24.29","elite","AS37678","BW","BOTSWANA FIBRE NETWORKS (Proprietary) Limited","197","Vbn Core","5678","socks4","5096","1","2023-10-13T15:03:23.236Z","98","4201","4277"
"154.113.161.129","elite","AS37282","NG","Mainone Cable Company","129","Mainone Cable Company","5678","socks4","3618","1","2023-10-13T15:03:23.241Z","100","4316","4321"
"103.54.221.122","elite","AS134021","IN","Airgenie Communications Private Limited","190","Airgenie Communications Private Limited","53281","socks4","5201","1","2023-10-13T15:03:23.237Z","98","4328","4396"
"173.212.220.213","elite","AS51167","DE","Contabo GmbH","86","Contabo GmbH","20939","socks5","4202","1","2023-10-13T15:03:19.745Z","48","2096","4383"
"172.67.253.69","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","2602","2","2023-10-13T15:03:19.641Z","100","4340","4341"
"128.199.214.87","elite","AS14061","SG","DigitalOcean, LLC","164","DigitalOcean, LLC","3128","socks5","5013","1","2023-10-13T15:03:19.635Z","46","1985","4281"
"185.32.6.121","elite","AS60645","PL","AS Consulting Sp. z o. o.","39","Data center","4153","socks4","4997","1","2023-10-13T15:03:19.633Z","99","4337","4397"
"103.47.93.231","elite","AS134058","IN","Broban Internet Services Pvt.ltd","155","Broban  PVT Ltd.","1080","socks4","4602","1","2023-10-13T15:03:19.642Z","99","4309","4342"
"51.210.21.189","elite","AS16276","FR","OVH SAS","6","EL Zayat Hadi","1080","socks5","3502","1","2023-10-13T15:03:19.650Z","99","4373","4415"
"138.68.135.103","elite","AS14061","GB","DigitalOcean, LLC","85","DigitalOcean, LLC","3128","socks5","4501","1","2023-10-13T15:03:19.638Z","93","3952","4254"
"194.113.73.38","elite","AS25697","US","UpCloud USA Inc","88","Upcloud US Nyc1","9331","socks4","4592","1","2023-10-13T15:03:19.743Z","22","963","4367"
"185.204.197.25","elite","AS60631","IR","Pars Parva System LLC","93","Pars Parva System LLC","8080","socks4","4702","1","2023-10-13T15:03:19.647Z","97","4150","4286"
